jobName,companyName,salary,experience,place,companySize,special,school,description
C#.NET 軟體工程師,承啟醫系股份有限公司,面議,經歷不拘,台北市中山區,員工35人,,專科,")
2.熟悉Windows Forms Application開發(俱備Web Application開發經驗加分)。
3.具備DBMS資料庫觀念，熟SQL語法(SQL Server,Oracle/PostgreSQL)。
4.溝通能力好，有"
系統分析師(產險業),緯德科技股份有限公司 (TechLink Corporation),面議,2年以上,台北市松山區,員工220人,,專科,"- 具備需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
- 撰寫需求訪談、系統分析、需求規格書等相關文件。
- 至少熟悉JAVA或.NET任一種程式語言。
- 具備系統分析師實務經驗2年以上。
- 可獨立或與團隊合作，工作態度"
系統分析師(銀行業),緯德科技股份有限公司 (TechLink Corporation),面議,2年以上,台北市松山區,員工220人,,專科,"- 具備需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
- 撰寫需求訪談、系統分析、需求規格書等相關文件。
- 至少熟悉JAVA或.NET任一種程式語言。
- 具備系統分析師實務經驗2年以上。
- 可獨立或與團隊合作，工作態度"
遊戲軟體 / 互動軟體產品規劃師,天紫科技有限公司,面議,3年以上,台北市松山區,員工10人,,大學,"我們需要一位腦筋靈活清楚、能夠針對不同的軟體應用需求主動發現問題並找出最佳設計方案的軟體產品規劃師。
這個職位必須有強烈的好奇心、有多方面專長、具備清晰的思路、有強大的資料搜尋及彙整能力，也必須清楚了解互動軟體 / 遊戲軟體的運作方式。有設計"
系統分析師,緯德科技股份有限公司 (TechLink Corporation),面議,2年以上,台北市松山區,員工220人,,專科,"- 具備需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
- 撰寫需求訪談、系統分析、需求規格書等相關文件。
- 至少熟悉JAVA或.NET任一種程式語言。
- 具備系統分析師實務經驗2年以上。
- 可獨立或與團隊合作，工作態度"
產品中心 - 資深Web系統開發工程師 (台北),一宇數位科技股份有限公司,面議,3年以上,台北市中正區,員工60人,,大學,"工作內容：
◆建置與開發網站前後台。
◆資料庫建置與規劃。
◆程式開發與維護。
◆系統架構分析與設計。
◆網站效能調教。
◆評估新技術與研究發展新產品。


須具備能力：
◆熟悉C# , ASP.Net"
1070034  數位科技處 專案設計師,全球人壽保險股份有限公司_總公司,面議,4年以上,台北市信義區,員工3000人,,大學,"
b. 熟悉iOS app 上版發佈流程
c. 熟悉iOS app 自動化測試及上版發佈流程經驗佳
d. 使用資料庫(如SQL lite)儲存資料於APP"
Java Developer Leader,金貝科技有限公司,面議,8年以上,台北市內湖區,,,專科,"1、業務需求了解、團隊管理、工作分配、跨部門溝通
1、負責公司核心業務的設計與開發
2、解決巨量資料持續增加與大型分散式服務調用所面臨的壓力，滿足業務需求
3、排定與追蹤有助於高可用性、高擴展性及高併發的解決方案並存入資料庫"
醫療系統軟體客服-台北,展望亞洲科技股份有限公司,月薪 2萬6仟元 至 4萬元,經歷不拘,台北市中山區,員工100人,,高中,"1.醫療系統線上顧問與指導。
2.喜歡與人透過訊息互動，態度積極、樂於學習與幫助他人。.
3.有意朝向醫療專業系統分析、設計、建置、輔導、行銷。
4.例假日需輪值(有津貼)。."
C#/ASP.NET 工程師,瑞友資訊股份有限公司,面議,經歷不拘,台北市大安區,員工15人,,專科,"工作內容
1. 系統功能維護 
2. 新增功能開發 
3. 系統文件製作
4. 主管交付任務

工作技能：
JQuery應用
ASP.NET(C#)
SQL Server"
APP Backend 工程師,關心網股份有限公司,面議,2年以上,台北市北投區,員工10人,,大學,"身為一個caringloop的Backend工程師，你將會....
1.與設計師、前端工程師溝通並確認程式開發流程與細節，為癌症病人打造一個安全、可信的軟體
2.規劃功能架構及開發時程
3.開發穩定、好維護、可測試的產品
4.理解舊有程式架構，並從中尋找並修正問題
5.與同事共同研究、分享、學習最新技術
6.編寫開發期間技術文件
7.註重程式碼品質"
Java軟體工程師,優碩資訊科技股份有限公司,面議,1年以上,台北市大安區,員工30人,,專科,"- 公司產品的研發與設計。
- 開發與維護伺服器端產品。
- 開發與維護Java技術相關產品。"
資深前端工程師 (Senior Front-end Engineer，月薪6W ~ 12W),愛勝遊戲股份有限公司,月薪 6萬元 至 12萬元,3年以上,台北市內湖區,員工100人,,專科,"1、網站規劃UI資訊結構(menu trees)、能規劃詳細的使用者故事文件 (user story) 與網頁設計原形圖(prototypes)
2、熟 UCD (User-Centered Design)設計流程
3、工作技能：HTML5 / CSS / CSS3 / AngularJS

※ 本工作亦接收兼職，時薪 NT$600/hour - $1,000/hour ，依工作年資以及專業技能而定。每個星期至少工作30個鐘頭。"
資訊-系統開發工程師,裕融企業股份有限公司,面議,3年以上,台北市大安區,員工500人,上市上櫃,高中,"1.系統開發與維護。
2.具責任感、服務熱忱及學習力佳、穩定性高者。"
程式設計師,仲信資產管理股份有限公司,面議,1年以上,台北市松山區,員工100人,,大學,資訊軟體開發、系統維護
