jobName,companyName,salary,experience,place,companySize,special,school,description
產品經理,日盛期貨股份有限公司,面議,2年以上,台北市中山區,員工100人,,大學,"1. 金融相關產品規劃與經營
2. 市場分析、需求收集、功能製定、版本計劃、運營數據分析、用戶反饋處理等
3. 專案管理，協調開發團隊，進行專案開發、測試、進度控管
4. 具規劃 Wireframe 或 Prototype 能力
5. 2"
工程師,坤眾科技股份有限公司,面議,經歷不拘,台北市內湖區,員工40人,,大學,"1. 俱備大數據分析及物聯網技術基礎者。
2. 俱備GIS技術基礎或對GIS應用系統發展有興趣者。
3. 對新技術研發與推廣有興趣者
4. 學習意願強，並樂於客戶溝通與協調。
5. 工作地點:台北總公司或台中分公司。"
ASP.NET/C#專案軟體工程師,經貿聯網科技股份有限公司,面議,2年以上,台北市內湖區,員工250人,,大學,"1. 大數據分析及轉檔
2. Data Warehouse/Data Mart，資料轉置分析
3. 客戶關係管理及商業智慧系統的開發
4. 雲端Microservice專案建置與開發
5. 企業系統流程優化和再造
6. 了解客戶端新增"
SEO/網站優化行銷專員/經理【明基BenQ整合行銷傳播中心】,明基電通股份有限公司,面議,經歷不拘,台北市內湖區,員工1300人,,大學,"1.SEO友善度健檢與建議(如: 網站效能優化、結構調整、追蹤代碼設定)
2.SEO關鍵字研究/分析與SERP佈局內容產出建議
3.Google網站工具數據解讀與分析
4.對內跨部門/跨國以及對外合作廠商執行專案溝通協調
5.主管交辦專案"
網頁開發工程師-F62N,精誠資訊股份有限公司,面議,2年以上,台北市內湖區,員工2000人,上市上櫃,大學,"1. 著重將數據、資料，轉為網頁前端圖形化之開發能力。
2. 略懂後端PHP與資料庫處理。
3. 可依需求規劃設計UI、UX，並有獨力開發之能力。
4. 負責開發範圍為金融相關資訊網站、CRM、產品網站。
5. 能指導同事精進技術能力，並帶領同事"
Java程式設計師,全勝發網路資訊股份有限公司,面議,經歷不拘,台北市南港區,員工25人,,專科,"1.資料庫規劃設計 
2.資料中心(整合數據源資料)
3.資料庫系統寫作經驗 – 熟SQL, Mysql/Mssql/Oracle 皆可。 
4.熟悉SQL Server語法，熟悉前端Javascript /jQuery 
5.瞭解並有"
程控系統高級工程師,台塑河靜鋼鐵興業責任有限公司_Formosa Ha Tinh Steel Corporation,依公司規定,5年以上,台北市松山區,員工6000人,,大學,"1.參與鋼廠程控電腦功能解析、流程優化規劃之系統分析及設計。 
2.各製程控制功能、數據、通訊結果之異常追蹤及進度管制。 
3.負責新產線/產品導入之功能擴充與配置。 
4.製作維護生產管理報表。
5.年收入180~200萬(含海外差旅費)。"
Android APP 資深工程師,熙曜娛樂科技股份有限公司,月薪 6萬元 至 7萬元,3年以上,台北市信義區,員工30人,,學歷不拘," APP開發、上架、維護
5.收集與分析產品相關數據，瞭解產品該如何改進，與PM/Designers進行討論"
Android APP 前端開發工程師,熙曜娛樂科技股份有限公司,月薪 5萬元 至 5萬8仟元,1年以上,台北市信義區,員工30人,,學歷不拘," APP開發、上架、維護
5.收集與分析產品相關數據，瞭解產品該如何改進，與PM/Designers進行討論"
iOS APP 前端開發工程師,熙曜娛樂科技股份有限公司,月薪 6萬元 至 6萬4仟元,3年以上,台北市信義區,員工30人,,學歷不拘,產品相關數據，瞭解產品該如何改進，與PM/Designers進行討論
資深遊戲數值策劃,日月科技網路有限公司,面議,1年以上,台北市中山區,員工34人,,高中,"設計
● 營收數據及遊戲表現資料分析"
資料庫開發工程師,善農科技有限公司,月薪 5萬元 至 7萬元,1年以上,台北市中山區,員工15人,,大學,"1. 管理公司現有資料庫並依需求及環境開發系統架構與設計
2. 撰寫程式，不斷配合公司農業專家獲取植物栽培的最佳化數據
3. 熟悉PHP開發，以 RESTful方式制定 API供APP端呼叫後端伺服器
4. 熟悉SQL資料庫
5. 資料庫"
數位廣告專案經理,"替您錄科技股份有限公司(TGC Taiwan, Inc.)",面議,3年以上,台北市松山區,員工95人,,高中,"1.數位廣告平台操作與管理
2.數據追蹤管理與成效分析
3.專案開發管理與追蹤
4.曾任數位平台工作經驗,學習力強
5.熟悉數位廣告術語,善於溝通
6.邏輯思考能力佳、願意學習新東西
6.有資訊相關背景尤佳"
【接案】網站程式設計,104外包網,面議,2年以上,台北市全部,,,,"1.已有網站介面和資料庫，後台是用laravel架構，需在原有完成的框架上新增功能。
2.需要建立一個新管理單元，功能主要是自動撈取ga、adsense、facebook sdk的數據，形成資料庫方便查看。
3.需根據已有的後台會員權限程式"
