jobName,companyName,salary,experience,place,companySize,special,school,description
701:【Threat Defense Expert - 打擊IoT網路駭客!】,Trend Micro_趨勢科技股份有限公司,面議,經歷不拘,台北市大安區,員工5200人,外商公司,大學," techniques, perform threat profiling, as well as root cause analysis. The most important of all is to come up with solution"
系統分析師,恆鈦科技股份有限公司,面議,2年以上,台北市大安區,員工20人,,大學,"(1)瞭解使用者對資訊服務的需求，並提出最佳作業方式解決方案。
(2)建議系統開發人力使用，並進行系統測試，確保符合使用者需求。
(3)協助進行系統設計、程式撰寫等專案工作。"
軟體架構師,奕力通信科技股份有限公司,面議,3年以上,台北市中山區,,,大學,"【部門說明】
奕力通信科技致力於提供電信與企業客戶完整的網路管理相關解決方案，並依據客戶需求建置相關系統，分析與處理網路上所收集到的大量資料，以進行管理或商業應用。本部門主要著重於處理大量資料系統的建置與開發，其中包含資料分析、系統設計、軟體開發、系統建置、系統維護等環節，提供客戶高可用性的軟體系統。如果你對大數據與軟體系統開發與管理有興趣，這裡將會是一個值得挑戰的工作環境。

【工作說明】
本項工作的內容包括:
1. 軟體系統規劃(SA)
2. 軟體系統設計(SD)
3. 軟體系統開發與管理"
前端程式工程師 FrontEnd Engineer,好好投資科技股份有限公司,面議,經歷不拘,台北市信義區,員工10人,,專科,"【好好說明】
本職缺主要工作為前端程式開發，並與企劃、前端設計師、後端工程師人員協同合作。

【好好要求】
1.紮實的​​HTML5，CSS3，JavaScript（ES6 +）和webpack知識。
2.具Frameworks開發經驗(有Angular or React經驗者優先錄取) 。
3.熟悉RESTful API和WebSocket。
4.重視使用者體驗(UX)，對前端工程師工作有強烈熱情者 。
5.連 API 抓Data時，能針對mobile與Web版運用不同取資料方式。
6. Web UI / UX設計經驗（加分）。
7.具SVG，畫布圖形和D3.js的經驗（加分）。

【好好嚴選】
我們正在找人，但尋志同道合，寧缺也不願濫選！我們不只找員工，更覓共同打拼的事業夥伴，雖是新創公司，但福利絕對優於上市公司。

您應該看得出，我們不同一般公司更認真仔細地徵才，注重每個環節，這是我們做好一件小事的標準，我們是站在世界金融科技風口的團隊，也是「79%」一定會成功的新創公司！這剩下「21%」的不確定，等待優秀且舉足輕重的您來為我們補足，如您只是帶著打工的心態，請不要來！如希望找到環境好，福利佳，能力快速成長的公司，歡迎您來試試看。

【好好認識】
好好投資科技是新創公司，也是一個築夢踏實的年輕團隊(但我們的志氣大到將會翻轉生態)

公司產業正是目前站在風口的金融+科技 (Fintech)領域，現正開發一個很有趣且特別的投資理財平台，第一版已上線測式中 www.howinvest.com

我們對於金融遇見科技的未來有著具體想像，即將運用人工智慧打破投資的專業門檻，改變傳統理財顧問與投資人的互動方式，我們要讓最需要理財的小資族，用非常簡單的方式直覺性投資！

公司創始成員由來自金融實務界資深銀行家與外資證券老總的發起，工程團隊從前端、後端、資料庫、演算法工程師都是新世代創客。

【好好徵才】
(以下五項前提，任一未具備者勿投履歷)
1.對有金融科技有興趣與熱情，想參與最夯的金融科技專案。(您現在不需很懂金融，但要有興趣) 。
2.注重細節及使用流程，能從使用者角度思考。
3.對 Web、Mobile Web開發、新技術開發具高度興趣及熱忱。
4.具主動、獨立作業與思考能力、執行能力強、勇於跳出框架思考的能力。
5.能有良好溝通表達能力、擇善不固執及團隊精神。

【好好選擇】
1.我們重視工作氣氛，在這講求團隊互助合作， 鼓勵主動提案改善，不墨守成規，打造活力無限、笑聲不斷、樂在工作的熱血團隊。
2.我們重視技術人才的培育與職涯發展，提供內部技術交流學習、外部訓練課程(公司出資)，透過不同階段工作安排與規劃，工作輪調機制，培育各領域儲備人才，讓每位員工擁有個人發展舞台與空間。
3.我們重視員工生活，公司提供內外部各項參與社團活動、旅遊補助、電影欣賞等，讓您在工作之餘，可以安排個人休閒娛樂，享受工作，樂於生活。
4.內部環境自由，可自由參與其他大數據、PHP、資料庫等學習，不斷增加能力。"
.Net程式設計師(MCD40),資拓宏宇國際股份有限公司,面議,2年以上,台北市松山區,員工980人,,專科,"1.醫療資訊產品開發
2.專案業務執行
3.現有系統維護及功能新增修改"
區塊鏈工程師 Blockchain Engineer,好好投資科技股份有限公司,面議,經歷不拘,台北市信義區,員工10人,,專科,"【好好說明】
工作內容
1.開發區塊鏈於以太坊的應用、開發智能合約
2.根據產品和專案需求，編寫模組及製作設計文件與系統測試文件

【好好要求】
1.在熟悉Solidity、Serpent其一
2.能掌握GoLang，C++，JAVA等主流區塊鏈系統開發語言
3.了解P2P網絡、密碼原理、非對稱(pub / private key)、各種分佈式共識法(EX：PoS，DPoS、Paxos等)
4.有能力串接區塊鏈底層與中層
5.具開發、編寫可重複使用/模組化以太坊智能合約能力
6.在區塊鏈的開源項目Ethereum、Hyperledger有深入研究、開發經驗，能開發包括後端協定\基礎架構\系統服務等相關應用

【好好嚴選】
我們正在找人，但尋志同道合，寧缺也不願濫選！我們不只找員工，更覓共同打拼的事業夥伴，雖是新創公司，但福利絕對優於上市公司。

您應該看得出，我們不同一般公司更認真仔細地徵才，注重每個環節，這是我們做好一件小事的標準，我們是站在世界金融科技風口的團隊，也是「79%」一定會成功的新創公司！這剩下「21%」的不確定，等待優秀且舉足輕重的您來為我們補足，如您只是帶著打工的心態，請不要來！如希望找到環境好，福利佳，能力快速成長的公司，歡迎您來試試看。

【好好認識】
好好投資科技是新創公司，也是一個築夢踏實的年輕團隊(但我們的志氣大到將會翻轉生態)

公司產業正是目前站在風口的金融+科技 (Fintech)領域，現正開發一個很有趣且特別的投資理財平台，第一版已上線測式中 www.howinvest.com

我們對於金融遇見科技的未來有著具體想像，即將運用人工智慧打破投資的專業門檻，改變傳統理財顧問與投資人的互動方式，我們要讓最需要理財的小資族，用非常簡單的方式直覺性投資！

公司創始成員由來自金融實務界資深銀行家與外資證券老總的發起，工程團隊從前端、後端、資料庫、演算法工程師都是新世代創客。

【好好徵才】
(以下五項前提，任一未具備者勿投履歷)
1.對有金融科技有興趣與熱情，想參與最夯的金融科技專案。(您現在不需很懂金融，但要有興趣) 。
2.注重細節及使用流程，能從使用者角度思考。
3.對 Web、Mobile Web開發、新技術開發具高度興趣及熱忱。
4.具主動、獨立作業與思考能力、執行能力強、勇於跳出框架思考的能力。
5.能有良好溝通表達能力、擇善不固執及團隊精神。

【好好選擇】
1.我們重視工作氣氛，在這講求團隊互助合作， 鼓勵主動提案改善，不墨守成規，打造活力無限、笑聲不斷、樂在工作的熱血團隊。
2.我們重視技術人才的培育與職涯發展，提供內部技術交流學習、外部訓練課程(公司出資)，透過不同階段工作安排與規劃，工作輪調機制，培育各領域儲備人才，讓每位員工擁有個人發展舞台與空間。
3.我們重視員工生活，公司提供內外部各項參與社團活動、旅遊補助、電影欣賞等，讓您在工作之餘，可以安排個人休閒娛樂，享受工作，樂於生活。
4.內部環境自由，可自由參與其他大數據、PHP、資料庫等學習，不斷增加能力。"
Hardware Applications Engineer (PMIC)  (E1963604),Qualcomm Taiwan Corporation_台灣高通股份有限公司,面議,3年以上,台北市信義區,,外商公司,大學," power debugging working experience will be an excellent plus
- Provide the power data report and analysis"
Database Architect 資料庫架構師,Gogoro Taiwan Limited_睿能創意股份有限公司,面議,5年以上,台北市松山區,員工900人,,大學, design/code reviews Lead analysis of the current/future IT environment to detect critical deficiencies and recommend
PMO leader (Digital)-208KC,萬寶華企業管理顧問股份有限公司,依公司規定,10年以上,台北市信義區,,,大學," perform fitment analysis to the solutions to Cardif Taiwan business 
•Lead the collaboration with the leading fintech firms in"
資深應用系統開發工程師,大陸工程股份有限公司,依公司規定,5年以上,台北市大安區,員工800人,上市上櫃,大學," and analysis, framework design, and systematic approaches to application interaction and integrtion.
4.Very customer"
