jobName,companyName,salary,experience,place,companySize,special,school,description
I3901 Data Engineer (熟SQL),遠傳電信股份有限公司,面議,3年以上,台北市內湖區,員工6300人,上市上櫃,大學,"1.Evaluate, design and implement highly scalable data management systems for data ingestion, storage, processing, and"
(e-Commerce) Sr. Data Engineer,17直播_英屬維京群島商麻吉一七股份有限公司臺灣分公司,面議,3年以上,台北市信義區,員工350人,,專科,"•    Prepare the “big data” infrastructure to be analyzed by Data Scientists
•    Design, build, integrate data from"
Search Data Engineer (Oracle/Hadoop),香港商雅虎資訊股份有限公司(Yahoo!奇摩),面議,3年以上,台北市南港區,員工1200人,外商公司,大學," daily habits of people around the world.
 
Your Day
1. Perform hands-on design, development of data integration (ETL"
數據工程師 Data engineer,Shopline Limited_商線科技有限公司,面議,2年以上,台北市松山區,員工85人,,大學, that would involve using data-mining and machine learning. with the vast amount of data that we currently have and growing
Data Engineer,Style.me_唯衣時尚科技有限公司,面議,2年以上,台北市信義區,,,大學," points of online shopping by creating an innovative solution to accurately try on clothing before you buy. 

Data Engineer at"
Data Analyst,核桃運算股份有限公司,面議,1年以上,台北市大安區,,,大學,"1. 資料邏輯處理：確認客戶需求及資料來源彙整、依據資料分析需求，進行資料清理、邏輯運算與彙總
2. 資料轉檔與分析: ETL資料轉檔、篩選、比對、彙總、分析相關作業數據
3. 預測分析: 利用統計或機器學習方法, 建置預測模組
4. 資料呈現：依據專案需求特性，提供對應之資料呈現模式，資料邏輯調整與維護
5. 建構資料與即時運算系統整合服務
6. 參與產品需求收集與測試"
VA Engineer-Deep learning and Data Scentist,光寶科技股份有限公司,面議,3年以上,台北市內湖區,員工55000人,上市上櫃,大學,"- Data collecting and analysis
- Deep Learning algorithm design"
Data Scientist,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,面議,2年以上,台北市大安區,員工50人,,大學,We're building the container-based platform for the 5G and AI industry. We have a solid R&D & Data Scientist team and now
Data Engineer,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,面議,經歷不拘,台北市大安區,員工50人,,大學," applications (eg. Spark , Kafka, Cassandra)
3. Auto-scaling setup
4. Customize the Data Pipe Line according to customer need"
Big Data軟體工程師,安富科技股份有限公司,依公司規定,經歷不拘,台北市內湖區,員工100人,,大學,"1. 建置雲端大數據資料分析平台。
2. Big Data解決方案技術整合，產品整合與客製化開發 。
3. Big Data解決方案系統部署，效能測試，問題排除 。
4. Big Data關鍵技術研究發展。
5. Big Data與IOT"
"Big Data Processing Engineer (Scala, Spark)",現觀科技股份有限公司,面議,1年以上,台北市中正區,員工80人,外商公司,大學,"For analyzing the lifestyles of mobile users based on big data from mobile operators, the candidate will work closely with"
